Joint Name,Parent Link,Child Link,X,Y,Z,Roll,Pitch,Yaw,Joint Type,Axis X,Axis Y,Axis Z,Range Min,Range Max,Damping,Friction,Armature
J_F_base_L0_torso,F_base,L0_torso,0,0,0,0,0,0,Fixed,0,0,0,0,0,0,0,0
J_L0_torso_F_imu,L0_torso,F_imu,0,0,0,0,0,0,Fixed,0,0,0,0,0,0,0,0
Jfl1_hipr,L0_torso,Lfl1_hipr,0.16175,0.059997,-0.061498,0.0,0.0,0.0,Revolute,1,0,0,-1.57,1.57,0.0116119,0.1,0.139532544
Jfl2_hipp,Lfl1_hipr,Lfl2_hipp,0.049998,0.019503,0.0,0.0,0.0,0.0,Revolute,0,1,0,-1.57,2.4,0.0116119,0.1,0.139532544
Jfl3_knee,Lfl2_hipp,Lfl3_knee,-0.2,0.07825,0.0,0.0,0.0,0.0,Revolute,0,1,0,-2.1,0,0.0116119,0.1,0.139532544
Jfl4_foot,Lfl3_knee,Lfl4_foot,-0.17362,0.0,-0.14312,0.0,0.0,0.0,Fixed,0,0,0,0,0,0,0,0
Jfr1_hipr,L0_torso,Lfr1_hipr,0.16175,-0.059983,-0.061498,0.0,0.0,0.0,Revolute,1,0,0,-1.57,1.57,0.0116119,0.1,0.139532544
Jfr2_hipp,Lfr1_hipr,Lfr2_hipp,0.050002,-0.019247,0.0,0.0,0.0,0.0,Revolute,0,-1,0,-2.4,1.57,0.0116119,0.1,0.139532544
Jfr3_knee,Lfr2_hipp,Lfr3_knee,-0.19998,-0.07825,-0.003052,0.0,0.0,0.0,Revolute,0,-1,0,0,2.1,0.0116119,0.1,0.139532544
Jfr4_foot,Lfr3_knee,Lfr4_foot,-0.17362,0.0,-0.14312,0.0,0.0,0.0,Fixed,0,0,0,0,0,0,0,0
Jrl1_hipr,L0_torso,Lrl1_hipr,-0.16175,0.059997,-0.061502,0.0,0.0,0.0,Revolute,-1,0,0,-1.57,1.57,0.0116119,0.1,0.139532544
Jrl2_hipp,Lrl1_hipr,Lrl2_hipp,-0.050002,0.019503,0.0,0.0,0.0,0.0,Revolute,0,1,0,-1.57,2.4,0.0116119,0.1,0.139532544
Jrl3_knee,Lrl2_hipp,Lrl3_knee,-0.2,0.07825,0.0,0.0,0.0,0.0,Revolute,0,1,0,-2.1,0,0.0116119,0.1,0.139532544
Jrl4_foot,Lrl3_knee,Lrl4_foot,-0.17362,0.0,-0.14312,0.0,0.0,0.0,Fixed,0,0,0,0,0,0,0,0
Jrr1_hipr,L0_torso,Lrr1_hipr,-0.16175,-0.060003,-0.061502,0.0,0.0,0.0,Revolute,-1,0,0,-1.57,1.57,0.0116119,0.1,0.139532544
Jrr2_hipp,Lrr1_hipr,Lrr2_hipp,-0.050002,-0.019247,0.0,0.0,0.0,0.0,Revolute,0,-1,0,-2.4,1.57,0.0116119,0.1,0.139532544
Jrr3_knee,Lrr2_hipp,Lrr3_knee,-0.19998,-0.07825,-0.003052,0.0,0.0,0.0,Revolute,0,-1,0,0,2.1,0.0116119,0.1,0.139532544
Jrr4_foot,Lrr3_knee,Lrr4_foot,-0.173615531262253,0.0,-0.143117599562475,0.0,0.0,0.0,Fixed,0,0,0,0,0,0,0,0
