Link Name,Mass,CoM X,CoM Y,CoM Z,Inertia Ixx,Inertia Ixy,Inertia Ixz,Inertia Iyy,Inertia Iyz,Inertia Izz
L0_body_front,11.396593857675251,-0.0021604402777948488,0.07391865019469165,0.0767596506114327,0.13654845396861207,1.0994601165739432e-5,-5.270341860178769e-4,0.20280162589603729,0.005332965063180706,0.09378844195304914
L1_body_rear,4.536476336021058,1.0844732230283962e-18,0.036084656433382094,-0.0964854724864598,0.02288950781301284,3.4897940684338707e-6,0,0.04963913835413655,-0.0014203697565217596,0.03595594732677737
Lfl1_hip_roll,1.8870436255734653,-7.218781934161533e-4,5.949582955667027e-4,0.07162279484158612,0.0037485431274068334,3.3598904946871696e-5,-2.5215070381032987e-5,0.0029150618311188387,-2.475313699365508e-5,0.002089010485599971
Lfl2_hip_pitch,3.023532673365137,0.06346748535600301,0.004844918471973006,-0.046384620661045574,0.03172443995973895,-5.838623889408048e-4,0.0053731370029622035,0.0324223446235557,0.0016329610649480745,0.006362320072527442
Lfl3_knee,1.5902191639600989,0.012631525068528687,-0.14633814608522297,0.18967854517825677,0.019878101474566076,8.375368725788445e-4,-0.0010128031210308239,0.012491708013773091,0.008824097408258513,0.008346688455018791
Lfl4_wheel,1.2925737652435267,0.009771946596888903,4.0783507820885134e-9,-1.6648865258650503e-8,0.005526587828101434,9.80617959040899e-14,1.9297219165538077e-13,0.0029049006661455716,7.217850448284152e-24,0.002904865502008175
Lfr1_hip_roll,1.894140160694257,7.144685036107046e-4,5.96208768829376e-4,0.07137999599512351,0.0037799792195973465,-3.345744103496326e-5,2.512586225224366e-5,0.0029470834497562163,-2.4724690881441347e-5,0.0020922823682536875
Lfr2_hip_pitch,3.0235365798780873,-0.06347362217285053,0.004845879513027146,-0.04638229905684088,0.031720869516711284,5.838902333943187e-4,-0.005374138069957192,0.03242099323513596,0.001632835154637891,0.006364486561759836
Lfr3_knee,1.5902191978010183,-0.012631524238372301,-0.14629872832901858,0.18970414251193551,0.01987709299661833,-8.38757007975202e-4,0.0010120107775059926,0.012495604765584,0.008822690073242788,0.008341783311420728
Lfr4_wheel,1.2925737652435267,-0.009771946596891457,1.0497212488136398e-8,1.3551064798056345e-8,0.0055265878281019415,8.3841667210243e-19,3.2163550686174354e-19,0.0029049030744551273,-2.465190328815662e-32,0.0029048630936990686
Lrl1_hip_roll,1.894140160694257,-7.144685036107046e-4,5.96208768829376e-4,-0.07137999599512351,0.0037799792195973465,3.345744103496326e-5,2.512586225224366e-5,0.0029470834497562163,2.4724690881441347e-5,0.0020922823682536875
Lrl2_hip_pitch,3.023532673365136,0.06346748535595935,0.004845918552598999,-0.044647427727626476,0.0322025528127418,-5.83743217709816e-4,0.005588807339090011,0.0329004867796356,0.001658273799452247,0.006362290769430248
Lrl3_knee,1.5902191639600989,0.012631525068528798,-0.1463381536049505,0.18967853937674128,0.01987810147456609,8.3753691273101e-4,-0.0010128030878269563,0.012491707314117702,0.008824097572586106,0.00834668915467425
Lrl4_wheel,1.2925737652435267,0.009771946595726888,-4.792935021091793e-9,-1.6457539331327098e-8,0.005526587828758076,-1.112179802784944e-15,-1.6689330331900828e-15,0.0029048822896295752,7.080026624358581e-28,0.0029048838791807556
Lrr1_hip_roll,1.8870436255734653,7.218781934161533e-4,5.949582955667027e-4,-0.07162279484158612,0.0037485431274068334,-3.3598904946871696e-5,-2.5215070381032987e-5,0.0029150618311188387,2.475313699365508e-5,0.002089010485599971
Lrr2_hip_pitch,3.0235365798780873,-0.06347362217285042,0.004844880184302958,-0.04464510836793795,0.03219901671444559,5.840095198523268e-4,-0.005589840639474132,0.03289911101459214,0.001658423400495667,0.00636451598003805
Lrr3_knee,1.5902191978010183,-0.012701524238375533,-0.14629872832902077,0.18970414251193385,0.019877092996618384,-8.387570079752297e-4,0.0010120107775059297,0.012495604765583902,0.008822690073242878,0.00834178331142097
Lrr4_wheel,1.2925737652435267,-0.009771946595727832,-1.586638509465388e-8,-6.486960135720921e-9,0.005526587828757456,-1.801139668515068e-18,-1.20794921930405e-18,0.0029048881782443355,0,0.0029048779905655794
