Link Name,Mass,CoM X,CoM Y,CoM Z,Inertia Ixx,Inertia Ixy,Inertia Ixz,Inertia Iyy,Inertia Iyz,Inertia Izz
L0_torso,20.536981843534825,0.001131547439795694,9.841589052500977e-05,0.09962489480132922,1.3021433221950118,-6.713412039040612e-4,-0.0025862952098666585,1.8129768890149527,-0.0010064149430439693,1.9579561047881158
Lfl1_hipr,2.4274258267888986,0.07294080095438771,0.03134129647281249,0.0008641283194620875,0.0025464073164593133,-4.3529914086792246e-4,4.5369431607292026e-5,0.0034540610419338206,-3.7399237177348086e-5,0.003163154640474052
Lfl2_hipp,2.594676127096951,-0.0025324354736928623,0.04503664900748661,-0.1957866606509158,0.023164455990631216,-8.660442215291262e-5,6.522667704860709e-4,0.023908152365352764,0.0024731642964722945,0.00215370315490761
Lfl3_knee,0.6285872676473081,0.024265530192386753,-0.010425006907825995,-0.16127865295280128,0.010355297532852498,-6.811911600905832e-6,9.613583799609523e-4,0.010667287626123907,4.584135263088589e-5,4.1177586313173245e-4
Lfl4_foot,0.11779755715750014,2.705701718230813e-09,1.0277975970307551e-09,-0.01067091012823762,2.331594323607434e-5,1.186275509571119e-19,-5.081617393959132e-12,5.54711161561063e-5,2.9874348253045276e-19,6.418425544451119e-5
Lfr1_hipr,2.4274258267888986,0.07294080097611755,-0.031341296513049205,0.0011506313006015567,0.0025450061158399655,4.3529913733895195e-4,4.054155030660313e-5,0.003452659848249013,7.380179669137004e-6,0.0031631546350673456
Lfr2_hipp,2.5946761324506507,-0.0028004745503005246,-0.04503664904935073,-0.19578666048339777,0.0231644559658358,4.572061837349793e-5,6.132553684645379e-4,0.023904443451554583,-0.0024731643054329844,0.0021499943336211625
Lfr3_knee,0.6285872655716207,0.02426553039567303,0.010425006886810306,-0.16127865401916633,0.01035529743012623,6.811917582211127e-6,9.61358373198406e-4,0.0106672875440075,-4.584134837379685e-5,4.11775882322898e-4
Lfr4_foot,0.11779755715750014,2.705701718230813e-09,1.0277975970307551e-09,-0.01067091012823762,2.331594323607434e-5,1.186275509571119e-19,-5.081617393959132e-12,5.54711161561063e-5,2.9874348253045276e-19,6.418425544451119e-5
Lrl1_hipr,2.4274258267888986,-0.07294080097611755,0.031341296513049205,0.0011506313006015567,0.0025450061158399655,4.3529913733895195e-4,-4.054155030660313e-5,0.003452659848249013,-7.380179669137004e-6,0.0031631546350673456
Lrl2_hipp,2.5946761324506507,0.0028004745503005246,0.04503664904935051,-0.1957866604833978,0.02316445596583598,4.572061837365731e-5,-6.132553684645274e-4,0.02390444345155443,0.00247316430543304,0.0021499943336211044
Lrl3_knee,0.6285872676473081,0.024265530192386753,-0.010425006907825995,-0.16127865295280128,0.010355297532852498,-6.811911600905832e-6,9.613583799609523e-4,0.010667287626123907,4.584135263088589e-5,4.1177586313173245e-4
Lrl4_foot,0.11779755715750014,2.705701718230813e-09,1.0277975970307551e-09,-0.01067091012823762,2.331594323607434e-5,1.186275509571119e-19,-5.081617393959132e-12,5.54711161561063e-5,2.9874348253045276e-19,6.418425544451119e-5
Lrr1_hipr,2.4274258267888986,-0.07294080095438771,-0.031341296472813265,0.0008641283194621568,0.0025464073164592257,-4.352991408679511e-4,-4.536943160727918e-5,0.0034540610419337616,3.739923717735286e-5,0.0031631546404740796
Lrr2_hipp,2.594676127096951,0.0025324354736926957,-0.04503664900748658,-0.19578666065091588,0.02316445599063134,-8.660442215294633e-5,-6.522667704860182e-4,0.02390815236535289,-0.0024731642964723015,0.0021537031549078546
Lrr3_knee,0.6285872655716207,0.02426553039567303,0.010425006886810306,-0.16127865401916633,0.01035529743012623,6.811917582211127e-6,9.61358373198406e-4,0.0106672875440075,-4.584134837379685e-5,4.11775882322898e-4
Lrr4_foot,0.11779755715750014,2.705701718230813e-09,1.0277975970307551e-09,-0.01067091012823762,2.331594323607434e-5,1.186275509571119e-19,-5.081617393959132e-12,5.54711161561063e-5,2.9874348253045276e-19,6.418425544451119e-5
